Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1943,64,The Ape Man ,Horror,Wallace Ford,Bela Lugosi,William Beaudine,83,No,TRUE
1953,91,The Mummy's Revenge ,Horror,Paul Naschy,,,56,No,TRUE
1953,120,Tales of Tomorrow,Horror,Boris Karloff,,,0,No,FALSE
1956,129,The Bad Seed ,Horror,Henry Jones,Nancy Kelly,Mervyn LeRoy,69,No,TRUE
1960,109,Psycho,Horror,Anthony Perkins,Janet Leigh,Alfred Hitchcock,56,No,FALSE
1963,86,The Raven ,Horror,Vincent Price,,Roger Corman,85,No,TRUE
1963,81,The Terror ,Horror,Boris Karloff,,Roger Corman,88,No,TRUE
1973,122,The Exorcist ,Horror,Max von Sydow,Ellen Burstyn,William Friedkin,28,Yes,TRUE
1975,87,The y Came from Within,Horror,Paul Hampton,,David Cronenberg,21,No,TRUE
1976,116,Burnt Offerings,Horror,Oliver Reed,Karen Black,Dan Curtis,35,No,FALSE
1976,95,Creature from Black Lake,Horror,Jack Elam,,Joy Jr. Houck,88,No,FALSE
1977,117,The Exorcist II  Heretic,Horror,Richard Burton,Linda Blair,John Boorman,29,No,TRUE
1977,104,The Island of Dr. Moreau ,Horror,Burt Lancaster,Barbara Carrera,Don Taylor,54,No,TRUE
1977,91,Rabid,Horror,Frank Moore,Marilyn Chambers,David Cronenberg,34,No,FALSE
1977,90,Tentacles,Horror,John Huston,Shelley Winters,Oliver Hellman,62,No,FALSE
1978,90,Eraserhead,Horror,John Nance,,David Lynch,2,No,FALSE
1979,92,The Brood ,Horror,Oliver Reed,Samantha Eggar,David Cronenberg,51,No,TRUE
1980,144,The Shining ,Horror,Jack Nicholson,Shelley Duvall,Stanley Kubrick,32,No,TRUE
1980,,Happy Birthday to Me,Horror,Glenn Ford,Melissa Sue Anderson,J. Lee Thompson,88,No,FALSE
1981,104,The Hand ,Horror,Michael Caine,Andrea Marcovicci,Oliver Stone,44,No,TRUE
1981,104,Scanners,Horror,Stephen Lack,Jennifer O'Neill,David Cronenberg,32,No,FALSE
1982,120,Creepshow,Horror,Hal Holbrook,Adrienne Barbeau,George A. Romero,70,No,FALSE
1982,92,Alone in the Dark,Horror,Dwight Schultz,,Jack Sholder,75,No,FALSE
1983,82,The Final Terror ,Horror,Adrian Zmed,Daryl Hannah,Andrew Davis,24,No,TRUE
1983,104,The Dead Zone ,Horror,Christopher Walken,Brooke Adams,David Cronenberg,79,No,TRUE
1983,86,Scream,Horror,Pepper Martin,,Byron Quisenberry,24,No,FALSE
1986,96,The Fly ,Horror,Jeff Goldblum,Geena Davis,David Cronenberg,33,No,TRUE
1986,85,Torment,Horror,Taylor Gilbert,,Samson Aslanian,8,No,FALSE
1986,97,Maximum Overdrive,Horror,Emilio Estevez,Yeardley Smith,Stephen King,40,No,FALSE
1986,98,Trick or Treat,Horror,Marc Price,Lisa Orgolini,Charles Martin Smith,47,No,FALSE
1987,97,The Lost Boys ,Horror,Jason Patric,Dianne Wiest,Joel Schumacher,67,No,TRUE
1987,83,Surf Nazis Must Die,Horror,Barry Brenner,Gail Neely,Peter George,50,No,FALSE
1988,93,The Lair of the White Worm ,Horror,Hugh Grant,Sammi Davis,Ken Russell,16,No,TRUE
1988,65,The Face at the Window ,Horror,Tod Slaughter,,,79,No,TRUE
1988,,Mama's Dirty Girls,Horror,Sondra Currie,Gloria Grahame,,62,No,FALSE
1988,89,Cheerleader Camp,Horror,Leif Garrett,Betsy Russell,John Quinn,79,No,FALSE
1988,89,Phantom of the Ritz,Horror,Peter Bergman,Valkenburgh Deborah Van,Allen Plone,85,No,FALSE
1989,90,The Savage Intruder ,Horror,John David Garfield,Virginia Wing,Donald Wolfe,24,No,TRUE
1989,89,The Nightmare on Elm Street Pt. 5  Dream Child,Horror,Robert Englund,Kelly Jo Minter,Hopkins,,,TRUE
1989,83,Masque of the Red Death,Horror,Patrick MacNee,Clare Hoak,Larry Brand,9,No,FALSE
1989,103,Pet Sematary,Horror,Fred Gwynne,Denise Crosby,Mary Lambert,27,No,FALSE
1989,87,Videodrome,Horror,James Woods,Deborah Harry,David Cronenberg,36,No,FALSE
1989,86,Dracula's Widow,Horror,Josef Sommer,Sylvia Kristel,Christopher Coppola,55,No,FALSE
1989,93,Seizure,Horror,Jonathan Frid,Christina Pickles,Oliver Stone,59,No,FALSE
1990,97,The Prom Night III  Last Kiss,Horror,Tim Conlon,,Ron Oliver,29,No,TRUE
1990,45,This Is Horror,Horror,Stephen King,,,3,No,FALSE
1990,87,All New Tales from the Crypt A Trilogy,Horror,M. Emmet Walsh,Lea Thompson,Howard Deutch,33,No,FALSE
1990,123,Misery,Horror,James Caan,Kathy Bates,Rob Reiner,48,Yes,FALSE
1990,102,Nightbreed,Horror,David Cronenberg,Anne Bobby,Clive Barker,72,No,FALSE
1991,94,Shock 'em Dead,Horror,Troy Donahue,Traci Lords,Mark Freed,31,No,FALSE
1991,95,Night Gallery,Horror,Roddy McDowall,Joan Crawford,Steven Spielberg,31,No,FALSE
1991,89,Bloodbath,Horror,Dennis Hopper,Carroll Baker,,37,No,FALSE
1991,76,Slumber Party Massacre III,Horror,Keely Christian,Brittain Grye,,40,No,FALSE
1991,90,Henry Portrait of a Serial Killer,Horror,Michael Rooker,Tracy Arnold,,69,No,FALSE
1996,96,The Island of Dr. Moreau ,Horror,David Thewlis,Fairuza Balk,John Frankenheimer,39,No,TRUE
1953,96,Dangerous When Wet,Music,Fernando Lamas,Esther Williams,Charles Walters,67,No,FALSE
1961,153,West Side Story,Music,Richard Beymer,Natalie Wood,Robert Wise,38,Yes,FALSE
1964,170,My Fair Lady,Music,Rex Harrison,Audrey Hepburn,George Cukor,10,Yes,FALSE
1965,172,The Sound of Music ,Music,Christopher Plummer,Julie Andrews,Robert Wise,59,Yes,TRUE
1968,151,Funny Girl,Music,Omar Sharif,Barbra Streisand,William Wyler,30,Yes,FALSE
1969,161,Paint Your Wagon,Music,Lee Marvin,,Joshua Logan,46,No,FALSE
1970,129,On a Clear Day You Can See Forever,Music,Yves Montand,Barbra Streisand,Vincente Minnelli,67,No,FALSE
1971,137,Boy Friend THe,Music,Christopher Gable,Twiggy Lawson,Ken Russell,8,No,FALSE
1971,100,Willy Wonka & the Chocolate Factory,Music,Gene Wilder,,Mel Stuart,65,No,FALSE
1973,102,Tom Sawyer,Music,Johnny Whitaker,Celeste Holm,Don Taylor,11,No,FALSE
1974,89,The Little Prince ,Music,Richard Kiley,,Stanley Donen,31,No,TRUE
1975,105,The Rocky Horror Picture Show ,Music,Charles Gray,Susan Sarandon,Jim Sharman,59,No,TRUE
1977,110,A Little Night Music,Music,Len Cariou,Elizabeth Taylor,Harold Prince,61,No,FALSE
1979,90,James Taylor in Concert,Music,James Taylor,,,38,No,FALSE
1979,122,Hair,Music,John Savage,Beverly D'Angelo,Milos Forman,67,No,FALSE
1982,115,Grease II,Music,Maxwell Caulfield,Michelle Pfeiffer,Patricia Birch,64,No,FALSE
1983,134,Yentl,Music,Mandy Patinkin,Barbra Streisand,Barbra Streisand,46,No,FALSE
1984,,Gary Numan - Berzerker,Music,John Webb,Karen Taylor,,60,No,FALSE
1985,118,The A Chorus Line  Movie,Music,Michael Douglas,Audrey Landers,Richard Attenborough,71,No,TRUE
1986,94,A Smoky Mountain Christmas,Music,Lee Majors,Dolly Parton,Henry Winkler,23,No,FALSE
1987,50,The Madonna Live  Virgin Tour,Music,NA,Madonna,,75,No,TRUE
1988,100,Ciao Italia Madonna Live from Italy,Music,NA,Madonna,Winter Harry De,74,No,FALSE
1988,60,Daphnis & Chloe,Music,Carl Morrow,Victoria Taylor,Jolyon Wimhurst,85,No,FALSE
1989,61,Exile in Concert,Music,J. P. Pennington,,,12,No,FALSE
1989,90,Branford Marsalis Steep,Music,Branford Marsalis,,,52,No,FALSE
1990,60,The Immaculate Collection ,Music,NA,Madonna,,32,No,TRUE
1990,50,The Industrial Symphony  Dream of the Broken-Hearted,Music,David Lynch,,,49,No,TRUE
1990,,Sounds of the Seventies...& the Beat Goes,Music,Tom Jones,Raquel Welch,,13,No,FALSE
1990,59,Erasure Live Wild!,Music,NA,,Gavin Taylor,48,No,FALSE
1990,5,Madonna Justify My Love,Music,NA,Madonna,,77,No,FALSE
1991,40,The National Enquirer  Untold Story,Music,Vanna White,Madonna,,65,No,TRUE
1991,240,Four American Composers,Music,John Cage,Meredith Monk,Peter Greenaway,3,No,FALSE
1991,118,Madonna Truth or Dare,Music,NA,Madonna,Alek Keshishian,54,No,FALSE
1991,60,America's Music Blues,Music,Linda Hopkins,Vi Redd,Kip Walton,54,No,FALSE
1991,130,Man of La Mancha,Music,Peter O'Toole,Sophia Loren,,55,No,FALSE
1991,16,Madonna Like a Virgin,Music,NA,Madonna,,63,No,FALSE
1991,60,Burning Poles Cecil Taylor in Performance,Music,Cecil Taylor,,Sheldon Rochlin,82,No,FALSE
1992,286,Tommy,Music,Roger Daltry,Ann-Margret,Ken Russell,5,No,FALSE
1992,60,America's Music Gospel,Music,Wentley Phipps,Sandra Crouch,Kip Walton,13,No,FALSE
1992,53,Gotta Dance Gotta Sing,Music,Fred Astaire,Ginger Rogers,,20,No,FALSE
1992,60,A Certain Sacrifice,Music,Jeremy Pattnosh,Madonna,Steven Jon Lewicki,24,No,FALSE
1992,61,Ladies of the Chorus,Music,Eddie Garr,Marilyn Monroe,Phil Karlson,60,No,FALSE
1993,53,The Big Bands ,Music,Tex Beneke,Les Elgart,,48,No,TRUE
1926,66,Lodger (Story of the London Fog),Mystery,Arthur Chesney,Marie Ault,Alfred Hitchcock,76,No,FALSE
1927,60,Easy Virtue,Mystery,Franklin Dyall,Isabel Jeans,Alfred Hitchcock,45,No,FALSE
1929,84,Blackmail,Mystery,John Longden,Sara Algood,Alfred Hitchcock,2,No,FALSE
1930,95,Murder,Mystery,Herbert Marshall,,Alfred Hitchcock,50,No,FALSE
1935,60,Mysterious Mr. Wong,Mystery,Bela Lugosi,,William Nigh,71,No,FALSE
1936,84,Secret Agent,Mystery,Peter Lorre,Madeleine Carroll,Alfred Hitchcock,50,No,FALSE
1936,77,Sabotage,Mystery,Oskar Homolka,Sylvia Sidney,Alfred Hitchcock,74,No,FALSE
1937,71,The Ticket of Leave Man ,Mystery,Tod Slaughter,,George King,45,No,TRUE
1937,80,Young & Innocent,Mystery,Nova Pilbeam,,Alfred Hitchcock,43,No,FALSE
1938,96,Lady Vanishes,Mystery,Michael Redgrave,Margaret Lockwood,Alfred Hitchcock,27,No,FALSE
1940,120,Foreign Correspondent,Mystery,Joel McCrea,Laraine Day,Alfred Hitchcock,61,No,FALSE
1943,265,The Adventures of Smilin' Jack ,Mystery,Tom Brown,Rose Hobart,Ray Taylor,77,No,TRUE
1946,93,Crack-Up,Mystery,Herbert Marshall,Pat O'Brien,Irving Reis,25,No,FALSE
1946,101,Notorious,Mystery,Cary Grant,Ingrid Bergman,Alfred Hitchcock,42,No,FALSE
1946,106,Cloak & Dagger,Mystery,Gary Cooper,,Fritz Lang,55,No,FALSE
1948,87,Lady from Shanghai,Mystery,Orson Welles,Rita Hayworth,Orson Welles,16,No,FALSE
1948,99,Secret Beyond the Door,Mystery,Michael Redgrave,Joan Bennett,Fritz Lang,31,No,FALSE
1950,110,Stage Fright,Mystery,Michael Wilding,Jane Wyman,Alfred Hitchcock,72,No,FALSE
1951,101,Strangers on a Train,Mystery,Farley Granger,Ruth Roman,Alfred Hitchcock,17,No,FALSE
1954,113,Rear Window,Mystery,James Stewart,Grace Kelly,Alfred Hitchcock,25,No,FALSE
1954,123,Dial M for Murder,Mystery,Ray Milland,,Alfred Hitchcock,52,No,FALSE
1955,100,The Trouble with Harry ,Mystery,John Forsythe,Mildred Natwick,Alfred Hitchcock,28,No,TRUE
1955,67,Killer's Kiss,Mystery,Frank Silvera,Irene Kane,Stanley Kubrick,66,No,FALSE
1955,103,To Catch a Thief,Mystery,Cary Grant,Grace Kelly,Alfred Hitchcock,69,No,FALSE
1956,120,The Man Who Knew Too Much ,Mystery,James Stewart,Doris Day,Alfred Hitchcock,15,No,TRUE
1962,96,Sanjuro,Mystery,Toshiro Mifune,,Akira Kurosawa,6,No,FALSE
1962,123,Experiment in Terror,Mystery,Glenn Ford,Stefanie Powers,Blake Edwards,77,No,FALSE
1965,133,Hush Hush Sweet Charlotte,Mystery,Joseph Cotten,Bette Davis,Aldrich,,,FALSE
1966,103,The Quiller Memorandum ,Mystery,George Segal,,Michael Anderson,34,No,TRUE
1966,125,Torn Curtain,Mystery,Paul Newman,Julie Andrews,Alfred Hitchcock,35,No,FALSE
1966,101,Shoot Loud Louder I Don't Understand!,Mystery,Marcello Mastroianni,Raquel Welch,Filippo De,,,FALSE
1969,126,Topaz,Mystery,John Forsythe,,Alfred Hitchcock,12,No,FALSE
1971,98,The Anderson Tapes ,Mystery,Sean Connery,Dyan Cannon,Sidney Lumet,1,No,TRUE
1971,102,Play Misty for Me,Mystery,Clint Eastwood,Jessica Walter,Clint Eastwood,47,No,FALSE
1973,119,The Last of Sheila ,Mystery,James Coburn,Raquel Welch,Herbert Ross,39,No,TRUE
1974,128,Murder on the Orient Express,Mystery,Martin Balsam,Lauren Bacall,Sidney Lumet,8,Yes,FALSE
1977,127,The American Friend ,Mystery,Dennis Hopper,Lisa Kreuzer,Wim Wenders,35,No,TRUE
1978,108,The Big Fix ,Mystery,Richard Dreyfuss,Susan Anspach,Jeremy Paul Kagan,19,No,TRUE
1978,106,Magic,Mystery,Anthony Hopkins,Ann-Margret,Richard Attenborough,85,No,FALSE
1979,110,The Great Train Robbery ,Mystery,Sean Connery,Lesley-Anne Down,Michael Crichton,7,No,TRUE
1980,90,The Fifth Floor ,Mystery,Bo Hopkins,Patti D'Arbanville,Howard Hikmet Avedis,74,No,TRUE
1980,117,The Formula ,Mystery,George C. Scott,Marthe Keller,John G. Avildsen,82,No,TRUE
1981,94,Deadline,Mystery,Barry Newman,,Arch Nicholson,9,No,FALSE
1983,114,Le Choix des Armes,Mystery,Yves Montand,Catherine Deneuve,Alain Comeau,15,No,FALSE
1985,95,Stark,Mystery,Nicolas Surovy,Marilu Henner,Rod Holcomb,27,No,FALSE
1985,96,Out of the Darkness,Mystery,Martin Sheen,Jennifer Salt,Jud Taylor,86,No,FALSE
1986,100,The Morning After ,Mystery,Jeff Bridges,Jane Fonda,Sidney Lumet,6,No,TRUE
1986,100,Casino,Mystery,Mike Connors,Sherry Jackson,Don Chaffey,5,No,FALSE
1986,120,Blue Velvet,Mystery,Kyle MacLachlan,Isabella Rossellini,David Lynch,6,No,FALSE
1986,109,Young Sherlock Holmes,Mystery,Nicholas Rowe,Sophie Ward,Barry Levinson,16,No,FALSE
1987,119,The Fourth Protocol ,Mystery,Michael Caine,Joanna Cassidy,John Mackenzie,14,No,TRUE
1987,85,Hot Child in the City,Mystery,Geof Prysirr,Leah Ayres Hendrix,John Florea,0,No,FALSE
1987,95,Under Cover,Mystery,David Neidorf,Jennifer Jason Leigh,John Stockwell,36,No,FALSE
1987,101,Black Widow,Mystery,Dennis Hopper,Debra Winger,Bob Rafelson,54,No,FALSE
1987,120,Fatal Attraction,Mystery,Michael Douglas,Anne Archer,Adrian Lyne,61,No,FALSE
1987,103,Heat,Mystery,Burt Reynolds,Karen Young,Jerry Jameson,69,No,FALSE
1988,111,The House on Carroll Street ,Mystery,Jeff Daniels,Kelly McGillis,,6,No,TRUE
1988,96,Glitz,Mystery,Jimmy Smits,Markie Post,,9,No,FALSE
1988,120,Frantic,Mystery,Harrison Ford,Betty Buckley,Roman Polanski,17,No,FALSE
1988,,Still of the Night,Mystery,Roy Scheider,Meryl Streep,Robert Benton,42,No,FALSE
1988,,White of the Eye,Mystery,David Keith,Cathy Moriarty,Donald Cammell,48,No,FALSE
1988,116,Tequila Sunrise,Mystery,Mel Gibson,Michelle Pfeiffer,Robert Towne,50,No,FALSE
1988,103,Appointment with Death,Mystery,Peter Ustinov,Lauren Bacall,Michael Winner Donaggio,75,No,FALSE
1989,,The Saint ,Mystery,Roger Moore,,,29,No,TRUE
1989,100,The Forgotten ,Mystery,Keith Carradine,Mimi Maynard,James Keach,69,No,TRUE
1989,96,Dead Calm,Mystery,Sam Neill,Nicole Kidman,Phillip Noyce,1,No,FALSE
1989,81,Deep Cover,Mystery,Tom Conti,Kika Markham,Richard Loncraine,15,No,FALSE
1989,88,Center of the Web,Mystery,Tony Curtis,Charlene Tilton,,42,No,FALSE
1989,109,Next of Kin,Mystery,Patrick Swayze,,John Irvin,63,No,FALSE
1989,,Killjoy,Mystery,Robert Culp,Kim Basinger,John Llewellyn Moxey,71,No,FALSE
1989,83,Stripped to Kill II Live Girls,Mystery,Ed Lottimer,Maria Ford,Katt Shea Ruben,80,No,FALSE
1989,113,Twin Peaks,Mystery,Kyle MacLachlan,Joan Chen,David Lynch,86,No,FALSE
1989,88,Final Notice,Mystery,Gil Gerard,Melody Anderson,Steven Hilliard Stern,88,No,FALSE
1990,,The Two Jakes ,Mystery,Jack Nicholson,,,3,No,TRUE
1990,94,The Rain Killer ,Mystery,Ray Sharkey,Maria Ford,Ken Stein,10,No,TRUE
1990,92,Primal Rage,Mystery,Patrick Lowe,,,3,No,FALSE
1990,109,Impulse,Mystery,Jeff Fahey,Theresa Russell,Sondra Locke,23,No,FALSE
1990,106,Desperate Hours,Mystery,Mickey Rourke,Mimi Rogers,Michael Cimino,58,No,FALSE
1990,127,Presumed Innocent,Mystery,Harrison Ford,Bonnie Bedelia,Alan J. Pakula,69,No,FALSE
1990,101,Act of Piracy,Mystery,Gary Busey,Belinda Bauer,,74,No,FALSE
1990,95,Dangerous Pursuit,Mystery,Gregory Harrison,Alexandra Powers,Sandor Stern,88,No,FALSE
1991,102,The Comfort of Strangers ,Mystery,Christopher Walken,Natasha Richardson,Paul Schrader,5,No,TRUE
1991,118,The Silence of the Lambs ,Mystery,Anthony Hopkins,Jodie Foster,Jonathan Demme,8,Yes,TRUE
1991,135,North by Northwest,Mystery,Cary Grant,Eva Marie Saint,Alfred Hitchcock,20,No,FALSE
1991,96,Intimate Stranger,Mystery,James Russo,Deborah Harry,Allan Holzman,23,No,FALSE
1991,114,After Dark My Sweet,Mystery,Jason Patric,Rachel Ward,James Foley,33,No,FALSE
1991,115,Deceived,Mystery,John Heard,Goldie Hawn,,55,No,FALSE
1991,86,Blind Man's Bluff,Mystery,Robert Urich,Lisa Eilbacher,James Quinn,64,No,FALSE
1991,91,Raw Nerve,Mystery,Glenn Ford,Sandahl Bergman,David A. Prior,88,No,FALSE
1992,121,The Postman Always Rings Twice ,Mystery,Jack Nicholson,Jessica Lange,,24,No,TRUE
1992,52,The Persuaders  Overture ,Mystery,Tony Curtis,,,40,No,TRUE
1992,,The Mummy's Hand ,Mystery,Dick Foran,,,54,No,TRUE
1992,83,The Devil's Disciple ,Mystery,Burt Lancaster,,,65,No,TRUE
1992,96,Shooting Elizabeth,Mystery,Jeff Goldblum,Mimi Rogers,Baz Taylor,5,No,FALSE
1992,128,Cape Fear,Mystery,Robert De Niro,Jessica Lange,Martin Scorsese,7,No,FALSE
1992,97,Killer Image.,Mystery,Michael Ironside,Krista Errickson,David Winning,8,No,FALSE
1992,133,Shining Through,Mystery,Michael Douglas,Melanie Griffith,David Seltzer,11,No,FALSE
1992,85,Naked Obsession,Mystery,William Katt,Maria Ford,Dan Golden,26,No,FALSE
1992,121,Drowning by Numbers,Mystery,Bernard Hill,Joan Plowright,Peter Greenaway,28,No,FALSE
1992,123,Basic Instinct,Mystery,Michael Douglas,Sharon Stone,Paul Verhoeven,41,No,FALSE
1992,118,Tightrope,Mystery,Clint Eastwood,,,55,No,FALSE
1992,97,Hunting,Mystery,John Savage,Kerry Armstrong,Frank Howson,68,No,FALSE
1992,72,American Film Institute Alfred Hitchcock,Mystery,Alfred Hitchcock,,,70,No,FALSE
1992,121,Harper,Mystery,Paul Newman,,,86,No,FALSE
1993,108,The Offence ,Mystery,Sean Connery,,,6,No,TRUE
1993,90,Duel,Mystery,Dennis Weaver,,Steven Spielberg,48,No,FALSE
1993,30,Alfred Hitchcock Presents Sorcerer's Apprentice,Mystery,Alfred Hitchcock,Diana Dors,,60,No,FALSE
1988,127,Everybody's All American,Romance,Dennis Quaid,Jessica Lange,Taylor Hackford,62,No,FALSE
1926,139,Metropolis,Science Fiction,Alfred Abel,,Fritz Lang,49,No,FALSE
1935,88,The Thirty-Nine Steps ,Science Fiction,Robert Donat,,Alfred Hitchcock,8,No,TRUE
1958,92,Tom Thumb,Science Fiction,Russ Tamblyn,,,30,No,FALSE
1960,103,The Time Machine ,Science Fiction,Rod Taylor,Yvette Mimieux,George Pal,88,No,TRUE
1963,89,The Crawling Hand ,Science Fiction,Peter Breck,,Herbert L. Strock,79,No,TRUE
1964,51,The Outer Limits ,Science Fiction,Vic Perrin,Gloria Grahame,Paul Stanley,27,No,TRUE
1968,139,2001: A Space Odyssey,Science Fiction,Keir Dullea,Margaret Tyzack,Stanley Kubrick,83,No,FALSE
1971,138,A Clockwork Orange,Science Fiction,Malcolm McDowell,,Stanley Kubrick,83,Yes,FALSE
1974,104,Zardoz,Science Fiction,Sean Connery,Charlotte Rampling,John Boorman,6,No,FALSE
1977,121,Star Wars,Science Fiction,Mark Hamill,Carrie Fisher,George Lucas,44,No,FALSE
1978,114,Coma,Science Fiction,Michael Douglas,Geneviève Bujold,Michael Crichton,64,No,FALSE
1979,117,Alien,Science Fiction,Tom Skerritt,Sigourney Weaver,Ridley Scott,83,No,FALSE
1980,124,The Empire Strikes Back ,Science Fiction,Mark Hamill,Carrie Fisher,Irvin Kershner,33,No,TRUE
1980,106,Virus,Science Fiction,George Kennedy,Olivia Hussey,Kinji Fukasaku,62,No,FALSE
1981,111,Outland,Science Fiction,Sean Connery,Frances Sternhagen,Peter Hyams,7,No,FALSE
1981,94,Looker,Science Fiction,Albert Finney,Susan Dey,Michael Crichton,62,No,FALSE
1982,115,The E. T.  Extra-Terrestrial,Science Fiction,Dee Wallace,Drew Barrymore,Steven Spielberg,8,Yes,TRUE
1983,132,Return of the Jedi,Science Fiction,Mark Hamill,Carrie Fisher,Richard Marquand,4,No,FALSE
1984,99,Dreamscape,Science Fiction,Dennis Quaid,Kate Capshaw,Joseph Ruben,63,No,FALSE
1985,117,Cocoon,Science Fiction,Don Ameche,Maureen Stapleton,Ron Howard,45,Yes,FALSE
1986,110,Highlander,Science Fiction,Christopher Lambert,Roxanne Hart,Russell Mulcahy,8,No,FALSE
1986,89,Legend,Science Fiction,Tom Cruise,Mia Sara,Ridley Scott,42,No,FALSE
1986,137,Aliens,Science Fiction,Michael Biehn,Sigourney Weaver,James Cameron,82,No,FALSE
1987,101,The Running Man ,Science Fiction,Arnold Schwarzenegger,Maria Conchita Alonso,Paul Michael Glaser,31,No,TRUE
1987,120,Innerspace,Science Fiction,Dennis Quaid,Meg Ryan,Joe Dante,41,No,FALSE
1987,88,Hell Comes to Frogtown,Science Fiction,Julius LeFlore,Cec Verrell,Donald G Jackson,74,No,FALSE
1988,90,Dr Alien,Science Fiction,Billy Jacoby,Olivia Barash,David DeCoteau,70,No,FALSE
1989,90,Puppet Master,Science Fiction,Paul LeMat,Barbara Crampton,David Schmoeller,20,No,FALSE
1990,92,The Witches ,Science Fiction,Jasen Fisher,Mai Zetterling,Nicolas Roeg,18,No,TRUE
1990,127,Ghost,Science Fiction,Patrick Swayze,Demi Moore,Jerry Zucker,6,Yes,FALSE
1990,94,Priceless Beauty,Science Fiction,Christopher Lambert,Diane Lane,Charles Finch,7,No,FALSE
1990,103,Altered States,Science Fiction,William Hurt,,Ken Russell,22,No,FALSE
1990,103,Meridian,Science Fiction,Malcolm Jamieson,Sherilyn Fenn,Charles Band,47,No,FALSE
1990,85,Crash & Burn,Science Fiction,Paul Ganus,Megan Ward,Charles Band,75,No,FALSE
1991,110,The Star Trek VI:  Undiscovered Country,Science Fiction,William Shatner,Nichelle Nichols,Nicholas Meyer,11,No,TRUE
1992,90,Beauty & the Beast,Science Fiction,Jean Marais,Josette Day,Jean Cocteau,14,No,FALSE
1992,115,Alien Three,Science Fiction,Charles Dutton,Sigourney Weaver,David Fincher,59,No,FALSE
1997,109,Alien: resurrection,Science Fiction,Ron Perlman,Sigourney Weaver,Jean-Pierre Jeunet,60,No,FALSE
1954,40,Inauguration of the Pleasure Dome,Short,Brier Sampson De,Marjorie Cameron,Kenneth Anger,62,No,FALSE
1928,139,Wings,War,Buddy Rogers,Clara Bow,William Wellman,44,Yes,FALSE
1942,18,The Battle of Midway ,War,Donald Crisp,Jane Darwell,John Ford,75,No,TRUE
1944,100,The Fighting Seabees ,War,John Wayne,,Edward Ludwig,35,No,TRUE
1944,139,Thirty Seconds over Tokyo,War,Spencer Tracy,,Mervyn LeRoy,45,No,FALSE
1945,135,The y Were Expendable,War,Robert Montgomery,,John Ford,88,No,TRUE
1949,119,The Battleground ,War,Van Johnson,,William Wellman,7,No,TRUE
1949,110,Sands of Iwo Jima,War,John Wayne,Adele Mara,Allan Dwan,72,No,FALSE
1951,111,Operation Pacific,War,John Wayne,Patricia Neal,,5,No,FALSE
1952,109,What Price Glory?,War,James Cagney,Corinne Calvet,John Ford,4,No,FALSE
1955,117,The Sea Chase ,War,John Wayne,Lana Turner,John Farrow,4,No,TRUE
1955,115,Blood Alley,War,John Wayne,Lauren Bacall,William Wellman,15,No,FALSE
1956,106,The D-Day  Sixth of June,War,Robert Taylor,,Henry Koster,84,No,TRUE
1958,96,Torpedo Run,War,Glenn Ford,Diane Brewster,Joseph Pevney,50,No,FALSE
1962,183,The Longest Day ,War,John Wayne,,Ken Annakin,7,No,TRUE
1962,100,Le Repos Du Guerrier (Warrior's Rest),War,Robert Hossein,Brigitte Bardot,Roger Vadim,8,No,FALSE
1965,165,In Harm's Way,War,John Wayne,,,66,No,FALSE
1966,175,Is Paris Burning?,War,Jean-Paul Belmondo,Leslie Caron,René Clément,63,No,FALSE
1968,133,The Green Berets ,War,John Wayne,,Ray Kellogg,36,No,TRUE
1968,158,Where Eagles Dare,War,Richard Burton,Mary Ure,Brian G. Hulton,57,No,FALSE
1970,170,Patton,War,George C. Scott,,Franklin J. Schaffner,8,Yes,FALSE
1970,146,Kelly's Heroes,War,Clint Eastwood,,Brian G. Hutton,84,No,FALSE
1972,15,My Country Right or Wrong,War,Michael Douglas,,,21,No,FALSE
1976,132,Midway,War,Charlton Heston,,Jack Smight,36,No,FALSE
1977,107,March or Die,War,Gene Hackman,Catherine Deneuve,Dick Richards,59,No,FALSE
1978,114,Go Tell the Spartans,War,Burt Lancaster,Denice Kumagai,Ted Post,67,No,FALSE
1986,130,Heartbreak Ridge,War,Clint Eastwood,Marsha Mason,Clint Eastwood,61,No,FALSE
1987,118,Hope & Glory,War,David Hayman,Sarah Miles,John Boorman,3,No,FALSE
1987,85,Operation Nam,War,John Ethan Wayne,,Larry Ludman,37,No,FALSE
1989,84,Dear America Letters Home from Vietnam,War,Robert De Niro,Kathleen Turner,Bill Couturie,57,No,FALSE
1991,,The John Wayne Collection Red River ,War,John Wayne,,,49,No,TRUE
1991,80,Hollywood's Greatest War Movies,War,George C. Scott,,,41,No,FALSE
1991,117,Full Metal Jacket,War,Matthew Modine,,Stanley Kubrick,45,No,FALSE
1991,115,Bataan,War,Robert Taylor,Desi Arnaz,,68,No,FALSE
1992,,John Wayne Collector's Limited Edition,War,John Wayne,,,3,No,FALSE
1923,57,Desert Rider,Western,Jack Hoxie,Evelyn Nelson,Robert N. Bradbury,,No,FALSE
1931,110,The Big Trail ,Western,John Wayne,Marguerite Churchill,Raoul Walsh,22,No,TRUE
1931,,The Range Feud ,Western,John Wayne,Susan Fleming,Ross Lederman,51,No,TRUE
